Storm # ,Date ,Time ,Lat ,Lon ,"Max
Winds
(kt) ","Landfall
State ","Storm
Names "
1850s ,,,,,,,
6,1851-10-19,1500Z,41.1N,71.7W,50,NY ,
1852,None ,,,,,,
1853,None ,,,,,,
1854,None ,,,,,,
1855,None ,,,,,,
3,1856-08-19,1100Z,34.8,76.4,50,NC ,
4,9/30/1857$,1000Z,25.8,97,50,TX ,
3,9/14/1858$,1500Z,27.6,82.7,60,FL ,
3,9/16/1858*,0300Z,35.2,75.2,50,NC ,
7,10/17/1859$,1600Z,26.4,80.1,60,FL ,
1860s ,,,,,,,
1860,None ,,,,,,
7,10/ 7/1861,1200Z,35.3,75.3,50,NC ,
8,11/ 1/1861$,0800Z,26,81.8,60,FL ,
8,11/ 3/1861,0800Z,41,72.3,60,NY ,
8,11/ 3/1861,0900Z,41.2,72,50,CT ,
1862,None ,,,,,,
6,1863-09-18,1300Z,34.6,77.1,60,NC ,
9,9/29/1863$,1200Z,29.3,94.8,60,TX ,
1864,None ,,,,,,
2,6/30/1865$,1800Z,26,97.5,50,TX ,
3,8/22/1865*,1800Z,34.5,74.6,40,NC ,
5,9/ 7/1865$,0000Z,29.7,92,60,LA ,
1866,None ,,,,,,
2,8/ 2/1867*,0100Z,34.9,75,60,NC ,
2,8/ 2/1867*,2200Z,40.9,69.3,50,MA ,
2,10/ 4/1868$,1600Z,29.9,85.4,60,FL ,
1869,None ,,,,,,
1870s ,,,,,,,
2,9/ 3/1870*,1800Z,40.5,68.8,40,MA ,
1,6/ 4/1871,0700Z,29.1,95.1,50,TX ,
2,6/ 9/1871,1700Z,29.2,95,50,TX ,
3,1871-08-23,0000Z,31.2,81.4,60,GA ,
7,10/ 5/1871$,1600Z,30,83.9,60,FL ,
1,1872-07-11,0500Z,29.1,89.1,50,LA ,
1,1872-07-11,0800Z,30.2,89,50,MS ,
5,10/23/1872$,0800Z,27.9,82.7,50,FL ,
5,1872-10-25,0100Z,34.4,77.7,50,NC ,
1,6/ 2/1873,1100Z,30.8,81.4,40,GA ,
4,9/23/1873$,1000Z,27.8,82.8,50,FL ,
1,7/ 4/1874,2000Z,28.5,96.2,50,TX ,
4,9/ 4/1874$#,1200Z,25,97.6,40,TX ,
4,9/27/1875$,1300Z,30.1,85.7,50,FL ,
