"Land, water and total area by U.S. state, district or territory, sortable 
State / territory",
,km2
ÿAlabama ,135767
ÿAlaska ,1723337
ÿAmerican Samoa ,1505
ÿArizona ,295234
ÿArkansas ,137732
ÿCalifornia ,423967
ÿColorado ,269601
ÿConnecticut ,14357
ÿDelaware ,6446
ÿDistrict of Columbia ,177
ÿFlorida ,170312
ÿGeorgia ,153910
ÿGuam ,1478
ÿHawaii ,28313
ÿIdaho ,216443
ÿIllinois ,149995
ÿIndiana ,94326
ÿIowa ,145746
ÿKansas ,213100
ÿKentucky ,104656
ÿLouisiana ,135659
ÿMaine ,91633
ÿMaryland ,32131
ÿMassachusetts ,27336
ÿMichigan ,250487
ÿMinnesota ,225163
ÿMississippi ,125438
ÿMissouri ,180540
ÿMontana ,380831
ÿNebraska ,200330
ÿNevada ,286380
ÿNew Hampshire ,24214
ÿNew Jersey ,22591
ÿNew Mexico ,314917
ÿNew York ,141297
ÿNorth Carolina ,139391
ÿNorth Dakota ,183108
ÿNorthern Mariana Islands ,5117
ÿOhio ,116098
ÿOklahoma ,181037
ÿOregon ,254799
ÿPennsylvania ,119280
ÿPuerto Rico ,13791
ÿRhode Island ,4001
ÿSouth Carolina ,82933
ÿSouth Dakota ,199729
ÿTennessee ,109153
ÿTexas ,695662
ÿU.S. Virgin Islands ,1898
ÿUtah ,219882
ÿVermont ,24906
ÿVirginia ,110787
ÿWashington ,184661
ÿWest Virginia ,62756
ÿWisconsin ,169635
ÿWyoming ,253335
